"Plot","pos","location","IndID","H_16","D_16","H_17","D_17","des.S"
"P_1","1_2E","2E","1_2E_PIRE",114.5,24.5,176.5,30,5
"P_1","1_3C","3C","1_3C_QUEL",24,6.5,NA,NA,5
"P_1","1_3D","3D","1_3D_PIRE",128,28.5,196,37.5,5
"P_1","1_4C","4C","1_4C_QUEL",30.5,6.5,NA,NA,5
"P_1","1_4D","4D","1_4D_PIST",119.5,20,196,34,5
"P_1","1_5C","5C","1_5C_PIST",131,28.5,211,36,5
"P_1","1_5D","5D","1_5D_PIRE",129,33,190,44,5
"P_1","1_6C","6C","1_6C_QUEL",39,5.5,21,4,5
"P_1","1_6D","6D","1_6D_TIAM",125,24.5,152.5,15,5
"P_1","1_6E","6E","1_6E_PIRE",NA,NA,175.5,30.5,5
"P_1","1_7C","7C","1_7C_TIAM",69.5,16.5,113.5,19.5,5
"P_1","1_7D","7D","1_7D_TIAM",55,14,115,14.5,5
"P_1","1_7E","7E","1_7E_PIBA",212,62,282,NA,5
"P_1","1_7F","7F","1_7F_PIST",115,29.5,171.5,33,5
"P_10","10_3C","3C","10_3C_QURU",57,9.5,91,12,2
"P_10","10_4D","4D","10_4D_QURU",86,14,169.5,25,2
"P_10","10_4E","4E","10_4E_QURU",75.6,13.5,109,16,2
"P_10","10_5D","5D","10_5D_PIST",146,36,221,NA,2
"P_10","10_5E","5E","10_5E_PIST",117,39,209,40,2
"P_10","10_6E","6E","10_6E_PIST",159,41,229,NA,2
"P_100","100_3D","3D","100_3D_QUMA",39.5,6,40,6,2
"P_100","100_4B","4B","100_4B_QUMA",41,8.5,52,9.5,2
"P_100","100_4C","4C","100_4C_QUMA",54,10.5,60,9,2
"P_100","100_4D","4D","100_4D_BEPA",206,22,274,NA,2
"P_100","100_5C","5C","100_5C_BEPA",169,16.5,219,NA,2
"P_100","100_6C","6C","100_6C_QUMA",11,3.5,7.5,3,2
"P_108","108_4D","4D","108_4D_TIAM",86.5,13.5,121,15.5,1
"P_108","108_4E","4E","108_4E_TIAM",76,10,72,6,1
"P_108","108_5D","5D","108_5D_TIAM",93,17,112,14,1
"P_109","109_2B","2B","109_2B_QUEL",77.5,11.5,126.5,16.5,5
"P_109","109_2C","2C","109_2C_BEPA",102.5,10,101,18,5
"P_109","109_2D","2D","109_2D_TIAM",55,10,37,8,5
"P_109","109_2G","2G","109_2G_QUEL",33,5,13,3.5,5
"P_109","109_3B","3B","109_3B_TIAM",58,8.5,58,7.5,5
"P_109","109_3C","3C","109_3C_QUEL",49,9,64.5,10.5,5
"P_109","109_3D","3D","109_3D_TIAM",79,12,83,18.5,5
"P_109","109_4B","4B","109_4B_BEPA",160,17,208.5,NA,5
"P_109","109_4C","4C","109_4C_ACRU",51.5,11,42,13,5
"P_109","109_4D","4D","109_4D_QURU",73,13,72,15.5,5
"P_109","109_4G","4G","109_4G_QURU",71.5,9,83,15,5
"P_109","109_5F","5F","109_5F_ACRU",75,10.5,78,12,5
"P_109","109_6A","6A","109_6A_BEPA",146,17,202,NA,5
"P_109","109_6F","6F","109_6F_ACRU",38,7.5,34,6,5
"P_109","109_8E","8E","109_8E_QURU",55,6,61,8.5,5
"P_11","11_4D","4D","11_4D_BEPA",236,28,225,NA,1
"P_11","11_4E","4E","11_4E_BEPA",248,21.5,334,NA,1
"P_11","11_5E","5E","11_5E_BEPA",191.5,19,288,NA,1
"P_113","113_3D","3D","113_3D_BEPA",221,2,267,NA,1
"P_113","113_3E","3E","113_3E_BEPA",177,15.5,245.5,NA,1
"P_113","113_4D","4D","113_4D_BEPA",147.5,18.5,216,NA,1
"P_114","114_2C","2C","114_2C_QUMA",42,6,43,9.5,5
"P_114","114_2D","2D","114_2D_TIAM",85.5,13.5,107,20,5
"P_114","114_2E","2E","114_2E_BEPA",121,9.5,135,13,5
"P_114","114_2G","2G","114_2G_QUAL",70,9.5,77,10.5,5
"P_114","114_3G","3G","114_3G_QUAL",70,11,113,6.5,5
"P_114","114_4F","4F","114_4F_JUVI",132,22,164,27.5,5
"P_114","114_4G","4G","114_4G_JUVI",163,26.5,200,NA,5
"P_114","114_4H","4H","114_4H_QUMA",42,7,44,5.5,5
"P_114","114_5G","5G","114_5G_QUAL",41,6.5,20,4,5
"P_114","114_6G","6G","114_6G_QUMA",36.5,6,10,6.5,5
